country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
Egypt,EGY,-0.23068024,2019-02-15,2019,2,-0.27481702,-0.45805928,-0.8350442
El Salvador,SLV,-1.1076462,2019-02-15,2019,2,-1.3473574,-0.10368756,-0.4380581
Equatorial Guinea,GNQ,-0.52142924,2019-02-15,2019,2,0.38556275,-1.0210814,-0.28834516
Eritrea,ERI,-0.79744947,2019-02-15,2019,2,-0.40492567,0.17580338,0.38727328
Estonia,EST,0.5443364,2019-02-15,2019,2,-0.651818,-0.99418616,-0.620113
Ethiopia,ETH,-0.7854059,2019-02-15,2019,2,-0.17721514,0.09835262,0.09297288
Falkland Islands,FLK,-0.41971844,2019-02-15,2019,2,-1.0266868,-0.79594946,0.28091896
Faroe Islands,FRO,-0.14996319,2019-02-15,2019,2,-0.37071964,-0.23345853,-0.0608458
Fiji,FJI,-0.87695754,2019-02-15,2019,2,-0.04864553,-0.04833042,0.4076277
Finland,FIN,0.78088164,2019-02-15,2019,2,-0.4958804,-1.0272682,-0.6649763
France,-99,-0.9086028,2019-02-15,2019,2,-0.18083224,1.858379,0.1762639
French Polynesia,PYF,0.09583926,2019-02-15,2019,2,-0.56714064,-2.2288346,-1.8564146
French Southern and Antarctic Lands,ATF,1.193893,2019-02-15,2019,2,-1.2233441,-2.7352066,0.36740676
Gabon,GAB,0.17160751,2019-02-15,2019,2,0.40726104,-1.082304,-0.607004
Gambia,GMB,-1.2544765,2019-02-15,2019,2,-1.3441417,0.1324229,0.73762417
Georgia,GEO,0.30207598,2019-02-15,2019,2,-0.08914985,-0.0962592,-0.8676534
Germany,DEU,0.17633824,2019-02-15,2019,2,-0.089692086,-1.1924027,-2.2743928
Ghana,GHA,-0.8538937,2019-02-15,2019,2,-1.4353242,-0.017109318,0.42310384
Greece,GRC,0.29170033,2019-02-15,2019,2,0.51346415,-1.2572261,-0.694122
Greenland,GRL,0.46528652,2019-02-15,2019,2,0.61293995,0.4682701,0.38850075
Guatemala,GTM,-0.652537,2019-02-15,2019,2,-0.11933477,0.36167422,-0.12087405
Guinea,GIN,-0.56920105,2019-02-15,2019,2,-1.1589417,0.01352343,0.4076401
Guinea-Bissau,GNB,-1.0288124,2019-02-15,2019,2,-1.5486801,-0.049382593,0.72710425
Guyana,GUY,-1.2697829,2019-02-15,2019,2,-1.5020566,-1.6061468,0.24744669
Haiti,HTI,-1.48192,2019-02-15,2019,2,-1.7776701,-1.5887362,-0.16436458
Honduras,HND,-0.71620417,2019-02-15,2019,2,-1.6594938,-1.339936,-0.93017465
Hungary,HUN,-0.82422334,2019-02-15,2019,2,-0.58740914,-1.382882,-1.486488
Iceland,ISL,0.85344106,2019-02-15,2019,2,1.1498585,1.1608795,1.0539433
India,IND,0.34374827,2019-02-15,2019,2,-0.16808234,-0.76599467,-0.5231524
Indonesia,IDN,-0.25214997,2019-02-15,2019,2,0.24631798,0.3286529,-0.096683726
Iran,IRN,-0.042322237,2019-02-15,2019,2,0.08598843,0.2990662,0.4615937
Iraq,IRQ,-0.15673073,2019-02-15,2019,2,0.76963055,1.3429593,0.80167156
Ireland,IRL,-0.24225731,2019-02-15,2019,2,0.57323444,0.7597342,0.16837643
Israel,ISR,0.8548709,2019-02-15,2019,2,0.42522418,0.6454163,0.08080794
Italy,ITA,-1.0528588,2019-02-15,2019,2,-0.88803244,-0.8015662,-0.96364635
Ivory Coast,CIV,-0.5452693,2019-02-15,2019,2,-0.917051,0.27422628,0.59167767
Jamaica,JAM,-0.3825291,2019-02-15,2019,2,-0.8658481,-1.6256478,-2.0088186
Japan,JPN,-0.95954806,2019-02-15,2019,2,-1.2727046,-0.722774,0.09743158
Jordan,JOR,0.9828677,2019-02-15,2019,2,0.6421655,0.5380215,0.06345513
Kazakhstan,KAZ,-0.35631996,2019-02-15,2019,2,0.0017879274,-0.0015075266,0.0056980005
Kenya,KEN,0.7116749,2019-02-15,2019,2,-0.121781096,-0.5476977,-0.8919279
Kiribati,KIR,,2019-02-15,2019,2,,,
Kosovo,-99,-0.60296124,2019-02-15,2019,2,-0.9086028,-0.18083224,1.858379
Kuwait,KWT,-1.4055976,2019-02-15,2019,2,0.43336987,1.5653954,1.8915606
Kyrgyzstan,KGZ,0.014502076,2019-02-15,2019,2,0.3748812,0.24766472,0.20517908
Laos,LAO,1.1662098,2019-02-15,2019,2,0.7337365,0.40517586,-1.1375779
Latvia,LVA,0.6913871,2019-02-15,2019,2,-0.36423558,-0.7282416,-0.9345352
Lebanon,LBN,1.4308003,2019-02-15,2019,2,1.0998397,0.98768467,-0.08463489
