iso_o,iso_d,distw
ALB,FLK,12755.85
ALB,FRA,1499.451
ALB,FRO,2922.655
ALB,FSM,12815.07
ALB,GAB,4697.156
ALB,GBR,2040.187
ALB,GEO,1991.544
ALB,GHA,4373.962
ALB,GIB,2251.465
ALB,GIN,4734.164
ALB,GLP,8125.994
ALB,GMB,4668.835
ALB,GNB,4736.894
ALB,GNQ,4407.044
ALB,GRC,451.4164
ALB,GRD,8426.012
ALB,GRL,5059.969
ALB,GTM,10583.16
ALB,GUF,8202.585
ALB,GUY,8527.415
ALB,HKG,8745.475
ALB,HND,10316.36
ALB,HRV,552.6649
ALB,HTI,8843.519
ALB,HUN,695.8069
ALB,IDN,10248.75
ALB,IND,5735.209
ALB,IRL,2401.968
ALB,IRN,2871.7
ALB,IRQ,2361.795
ALB,ISL,3679.853
ALB,ISR,1682.971
ALB,ITA,722.9528
ALB,JAM,9258.921
ALB,JOR,1761.606
ALB,JPN,9382.621
ALB,KAZ,4113.149
ALB,KEN,5043.439
ALB,KGZ,4444.966
ALB,KHM,8714.245
ALB,KIR,14634.8
ALB,KNA,8038.321
ALB,KOR,8665.202
ALB,KWT,2865.913
ALB,LAO,8209.375
ALB,LBN,1605.585
ALB,LBR,4899.065
ALB,LBY,1117.773
ALB,LCA,8236.237
ALB,LKA,7000.817
ALB,LSO,7892.095
ALB,LTU,1593.107
ALB,LUX,1425.834
ALB,LVA,1774.892
ALB,MAC,
ALB,MAR,2493.35
ALB,MDA,976.576
ALB,MDG,7295.459
ALB,MDV,6758.634
ALB,MEX,10737.21
ALB,MHL,13803.89
ALB,MKD,168.1648
ALB,MLI,4071.517
ALB,MLT,750.625
ALB,MMR,7577.652
ALB,MNG,6500.372
ALB,MNP,11655.07
ALB,MOZ,7097.157
ALB,MRT,4175.767
ALB,MSR,
ALB,MTQ,8193.652
ALB,MUS,7862.411
ALB,MWI,6363.684
ALB,MYS,9263.163
ALB,NAM,7031.814
ALB,NCL,16226.84
ALB,NER,3342.36
ALB,NFK,16862.96
ALB,NGA,3946.62
ALB,NIC,10418.4
ALB,NIU,17404.11
ALB,NLD,1652.268
ALB,NOR,2271.863
ALB,NPL,6012.952
ALB,NRU,14430.93
ALB,NZL,17853.96
ALB,OMN,4039.043
